city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Warsaw,52.2167,21.0333,Poland,PL,Mazowieckie,primary,1790658,1790658
Kraków,50.0614,19.9372,Poland,PL,Małopolskie,admin,766739,766739
Łódź,51.7769,19.4547,Poland,PL,Łódzkie,admin,690422,690422
Wrocław,51.1100,17.0325,Poland,PL,Dolnośląskie,admin,638586,638586
Poznań,52.4000,16.9167,Poland,PL,Wielkopolskie,admin,533830,533830
Gdańsk,54.3667,18.6333,Poland,PL,Pomorskie,admin,464254,464254
Szczecin,53.4247,14.5553,Poland,PL,Zachodniopomorskie,admin,403833,403833
Bydgoszcz,53.1167,18.0000,Poland,PL,Kujawsko-Pomorskie,admin,346739,346739
Lublin,51.2333,22.5667,Poland,PL,Lubelskie,admin,339850,339850
Białystok,53.1167,23.1667,Poland,PL,Podlaskie,admin,297554,297554
Katowice,50.2500,19.0000,Poland,PL,Śląskie,admin,276499,276499
Gdynia,54.5189,18.5319,Poland,PL,Pomorskie,minor,247672,247672
Częstochowa,50.8096,19.1222,Poland,PL,Śląskie,minor,228179,228179
Radom,51.4036,21.1567,Poland,PL,Mazowieckie,minor,219703,219703
Toruń,53.0167,18.6167,Poland,PL,Kujawsko-Pomorskie,admin,201447,201447
Sosnowiec,50.3000,19.1667,Poland,PL,Śląskie,minor,199974,199974
Kielce,50.8725,20.6319,Poland,PL,Świętokrzyskie,admin,191605,191605
Rzeszów,50.0500,22.0000,Poland,PL,Podkarpackie,admin,182548,182548
Gliwice,50.3011,18.6498,Poland,PL,Śląskie,minor,179806,179806
Zabrze,50.3000,18.7833,Poland,PL,Śląskie,minor,174349,174349
Olsztyn,53.7800,20.4942,Poland,PL,Warmińsko-Mazurskie,admin,173599,173599
Bielsko-Biała,49.8225,19.0444,Poland,PL,Śląskie,minor,172781,172781
Bytom,50.3470,18.9230,Poland,PL,Śląskie,minor,171515,171515
Rybnik,50.0833,18.5000,Poland,PL,Śląskie,minor,141000,141000
Ruda Śląska,50.2628,18.8536,Poland,PL,Śląskie,minor,139412,139412
Zielona Góra,51.9397,15.5050,Poland,PL,Lubuskie,admin,139330,139330
Tychy,50.1667,19.0000,Poland,PL,Śląskie,minor,129322,129322
Opole,50.6722,17.9253,Poland,PL,Opolskie,admin,127792,127792
Gorzów Wielkopolski,52.7333,15.2500,Poland,PL,Lubuskie,admin,123341,123341
Dąbrowa Górnicza,50.3182,19.2374,Poland,PL,Śląskie,minor,122712,122712
Płock,52.5500,19.7000,Poland,PL,Mazowieckie,minor,120000,120000
Elbląg,54.1667,19.4000,Poland,PL,Warmińsko-Mazurskie,minor,119317,119317
Wałbrzych,50.7667,16.2833,Poland,PL,Dolnośląskie,minor,116069,116069
Chorzów,50.3000,18.9500,Poland,PL,Śląskie,minor,111536,111536
Tarnów,50.0125,20.9883,Poland,PL,Małopolskie,minor,110956,110956
Koszalin,54.1903,16.1817,Poland,PL,Zachodniopomorskie,minor,106880,106880
Kalisz,51.7570,18.0830,Poland,PL,Wielkopolskie,minor,99761,99761
Legnica,51.2101,16.1619,Poland,PL,Dolnośląskie,minor,99350,99350
Włocławek,52.6500,19.0500,Poland,PL,Kujawsko-Pomorskie,minor,99350,99350
Grudziądz,53.4925,18.7761,Poland,PL,Kujawsko-Pomorskie,minor,94368,94368
Jaworzno,50.2000,19.2750,Poland,PL,Śląskie,minor,94305,94305
Jelenia Góra,50.9000,15.7333,Poland,PL,Dolnośląskie,minor,84306,84306
Siedlce,52.1833,22.2833,Poland,PL,Mazowieckie,minor,76585,76585
Mysłowice,50.2333,19.1333,Poland,PL,Śląskie,minor,75183,75183
Piotrków Trybunalski,51.4000,19.6833,Poland,PL,Łódzkie,minor,74905,74905
Konin,52.2275,18.2614,Poland,PL,Wielkopolskie,minor,73176,73176
Inowrocław,52.7958,18.2611,Poland,PL,Kujawsko-Pomorskie,minor,72561,72561
Ostrowiec Świętokrzyski,50.9333,21.4000,Poland,PL,Świętokrzyskie,minor,72001,72001
Suwałki,54.0833,22.9333,Poland,PL,Podlaskie,minor,69626,69626
Gniezno,52.5333,17.6000,Poland,PL,Wielkopolskie,minor,68217,68217
Przemyśl,49.7835,22.7842,Poland,PL,Podkarpackie,minor,67847,67847
Głogów,51.6589,16.0803,Poland,PL,Dolnośląskie,minor,66980,66980
Zamość,50.7206,23.2586,Poland,PL,Lubelskie,minor,66234,66234
Pabianice,51.6642,19.3500,Poland,PL,Łódzkie,minor,64988,64988
Leszno,51.8403,16.5749,Poland,PL,Wielkopolskie,minor,63505,63505
Łomża,53.1833,22.0833,Poland,PL,Podlaskie,minor,62700,62700
Ełk,53.8167,22.3500,Poland,PL,Warmińsko-Mazurskie,minor,62006,62006
Tarnowskie Góry,50.4455,18.8615,Poland,PL,Śląskie,minor,61686,61686
Chełm,51.1333,23.4833,Poland,PL,Lubelskie,minor,61588,61588
Pruszków,52.1667,20.8000,Poland,PL,Mazowieckie,minor,61237,61237
Mielec,50.2833,21.4333,Poland,PL,Podkarpackie,minor,60628,60628
Bełchatów,51.3667,19.3667,Poland,PL,Łódzkie,minor,59025,59025
Świdnica,50.8438,16.4886,Poland,PL,Dolnośląskie,minor,57761,57761
Biała Podlaska,52.0333,23.1167,Poland,PL,Lubelskie,minor,57498,57498
Będzin,50.3250,19.1333,Poland,PL,Śląskie,minor,56354,56354
Legionowo,52.4015,20.9266,Poland,PL,Mazowieckie,minor,53886,53886
Ostrołęka,53.0833,21.5667,Poland,PL,Mazowieckie,minor,52900,52900
Puławy,51.4166,21.9694,Poland,PL,Lubelskie,minor,49839,49839
Starogard Gdański,53.9667,18.5333,Poland,PL,Pomorskie,minor,48690,48690
Skierniewice,51.9528,20.1417,Poland,PL,Łódzkie,minor,47837,47837
Tarnobrzeg,50.5833,21.6833,Poland,PL,Podkarpackie,minor,47816,47816
Starachowice,51.0500,21.0667,Poland,PL,Świętokrzyskie,minor,47638,47638
Kutno,52.2333,19.3667,Poland,PL,Łódzkie,minor,47557,47557
Rumia,54.5667,18.4000,Poland,PL,Pomorskie,,47148,47148
Nysa,50.4738,17.3344,Poland,PL,Opolskie,minor,46841,46841
Kołobrzeg,54.1667,15.5667,Poland,PL,Zachodniopomorskie,minor,46716,46716
Dębica,50.0515,21.4114,Poland,PL,Podkarpackie,minor,43924,43924
Ciechanów,52.8817,20.6106,Poland,PL,Mazowieckie,minor,42965,42965
Świdnik,51.2333,22.7000,Poland,PL,Lubelskie,minor,42797,42797
Otwock,52.1167,21.2667,Poland,PL,Mazowieckie,minor,42765,42765
Sieradz,51.6000,18.7500,Poland,PL,Łódzkie,minor,42120,42120
Mikołów,50.1710,18.9041,Poland,PL,Śląskie,minor,42053,42053
Świnoujście,53.9167,14.2500,Poland,PL,Zachodniopomorskie,minor,41479,41479
Kwidzyn,53.7358,18.9308,Poland,PL,Pomorskie,minor,40008,40008
Chojnice,53.6955,17.5570,Poland,PL,Pomorskie,minor,39937,39937
Nowa Sól,51.8000,15.7167,Poland,PL,Lubuskie,minor,39721,39721
Bolesławiec,51.2667,15.5667,Poland,PL,Dolnośląskie,minor,39412,39412
Oświęcim,50.0333,19.2333,Poland,PL,Małopolskie,minor,39057,39057
Malbork,54.0285,19.0444,Poland,PL,Pomorskie,minor,38895,38895
Żary,51.6333,15.1333,Poland,PL,Lubuskie,minor,37502,37502
Jarosław,50.0162,22.6778,Poland,PL,Podkarpackie,minor,37479,37479
Sopot,54.4419,18.5478,Poland,PL,Pomorskie,minor,37457,37457
Chrzanów,50.1333,19.4000,Poland,PL,Małopolskie,minor,36575,36575
Brzeg,50.8667,17.4833,Poland,PL,Opolskie,minor,35890,35890
Jasło,49.7333,21.4667,Poland,PL,Podkarpackie,minor,35445,35445
Lębork,54.5500,17.7500,Poland,PL,Pomorskie,minor,35374,35374
Cieszyn,49.7500,18.6333,Poland,PL,Śląskie,minor,34513,34513
Czeladź,50.3333,19.0833,Poland,PL,Śląskie,,34402,34402
Kraśnik,50.9167,22.2167,Poland,PL,Lubelskie,minor,34230,34230
Nowy Targ,49.4833,20.0333,Poland,PL,Małopolskie,minor,33545,33545
Iława,53.5964,19.5656,Poland,PL,Warmińsko-Mazurskie,minor,33322,33322
Police,53.5500,14.5708,Poland,PL,Zachodniopomorskie,minor,33152,33152
Dzierżoniów,50.7281,16.6511,Poland,PL,Dolnośląskie,minor,33137,33137
Grodzisk Mazowiecki,52.1039,20.6337,Poland,PL,Mazowieckie,minor,32125,32125
Zgorzelec,51.1528,15.0000,Poland,PL,Dolnośląskie,minor,31359,31359
Łowicz,52.1000,19.9333,Poland,PL,Łódzkie,minor,30383,30383
Łuków,51.9167,22.3833,Poland,PL,Lubelskie,minor,30381,30381
Bielsk Podlaski,52.7667,23.2000,Poland,PL,Podlaskie,minor,30322,30322
